ec_number,pd_segment,tenor,period,ecl_bucket,avg_marginal_pd_loan,avg_marginal_pd_client,avg_marginal_pd_balance,wa_marginal_pd_loan,wa_marginal_pd_client,wa_marginal_pd_balance,pt_date
EC1,Digital_AKL,6,1,5,1,1,1,1,1,1,3/31/2024
EC1,Digital_SPL,6,7,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,4,3,0.035934335,0.027915875,0.036974,0.040315401,0.03024911,0.042833,3/31/2024
EC1,Digital_SPL,12,24,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,19,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,16,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,14,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,28,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,11,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,12,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,16,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,16,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,12,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,18,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,14,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,24,6,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,9,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,4,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,28,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,9,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,16,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,14,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,7,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,25,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,22,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,10,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,11,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,5,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,8,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,27,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,18,5,1,0.446246625,0.446675619,0.444948,0.485318292,0.486207306,0.484903,3/31/2024
EC1,Digital_SPL,6,26,3,0,0,0,0,0,0,3/31/2024
