scenario,product,tenor,period,bucket
BASE,Digital_KPL,17,24,5
BASE,Digital_KPL,17,25,1
BASE,Digital_KPL,17,25,2
BASE,Digital_KPL,17,25,3
BASE,Digital_KPL,17,25,4
BASE,Digital_KPL,17,25,5
BASE,Digital_KPL,17,26,1
BASE,Digital_KPL,17,26,2
BASE,Digital_KPL,17,26,3
BASE,Digital_KPL,17,26,4
BASE,Digital_KPL,17,26,5
BASE,Digital_KPL,17,27,1
BASE,Digital_KPL,17,27,2
BASE,Digital_KPL,17,27,3
BASE,Digital_KPL,17,27,4
BASE,Digital_KPL,17,27,5
BASE,Digital_KPL,17,28,1
BASE,Digital_KPL,17,28,2
BASE,Digital_KPL,17,28,3
BASE,Digital_KPL,17,28,4
BASE,Digital_KPL,17,28,5
BASE,Digital_KPL,17,29,1
BASE,Digital_KPL,17,29,2
BASE,Digital_KPL,17,29,3
BASE,Digital_KPL,17,29,4
BASE,Digital_KPL,17,29,5
BASE,Digital_KPL,17,30,1
BASE,Digital_KPL,17,30,2
BASE,Digital_KPL,17,30,3
BASE,Digital_KPL,17,30,4
BASE,Digital_KPL,17,30,5
BASE,Digital_KPL,17,31,1
BASE,Digital_KPL,17,31,2
BASE,Digital_KPL,17,31,3
BASE,Digital_KPL,17,31,4
BASE,Digital_KPL,17,31,5
BASE,Digital_KPL,17,32,1
BASE,Digital_KPL,17,32,2
BASE,Digital_KPL,17,32,3
BASE,Digital_KPL,17,32,4
BASE,Digital_KPL,17,32,5
BASE,Digital_KPL,17,33,1
BASE,Digital_KPL,17,33,2
BASE,Digital_KPL,17,33,3
BASE,Digital_KPL,17,33,4
BASE,Digital_KPL,17,33,5
BASE,Digital_KPL,17,34,1
BASE,Digital_KPL,17,34,2
BASE,Digital_KPL,17,34,3
BASE,Digital_KPL,17,34,4
BASE,Digital_KPL,17,34,5
BASE,Digital_KPL,17,35,1
BASE,Digital_KPL,17,35,2
BASE,Digital_KPL,17,35,3
BASE,Digital_KPL,17,35,4
BASE,Digital_KPL,17,35,5
BASE,Digital_KPL,17,36,1
BASE,Digital_KPL,17,36,2
BASE,Digital_KPL,17,36,3
BASE,Digital_KPL,17,36,4
BASE,Digital_KPL,17,36,5
BASE,Digital_KPL,18,1,1
BASE,Digital_KPL,18,1,2
BASE,Digital_KPL,18,1,3
BASE,Digital_KPL,18,1,4
BASE,Digital_KPL,18,1,5
BASE,Digital_KPL,18,2,1
BASE,Digital_KPL,18,2,2
BASE,Digital_KPL,18,2,3
BASE,Digital_KPL,18,2,4
BASE,Digital_KPL,18,2,5
BASE,Digital_KPL,18,3,1
BASE,Digital_KPL,18,3,2
BASE,Digital_KPL,18,3,3
BASE,Digital_KPL,18,3,4
BASE,Digital_KPL,18,3,5
BASE,Digital_KPL,18,4,1
BASE,Digital_KPL,18,4,2
BASE,Digital_KPL,18,4,3
BASE,Digital_KPL,18,4,4
BASE,Digital_KPL,18,4,5
BASE,Digital_KPL,18,5,1
BASE,Digital_KPL,18,5,2
BASE,Digital_KPL,18,5,3
BASE,Digital_KPL,18,5,4
BASE,Digital_KPL,18,5,5
BASE,Digital_KPL,18,6,1
BASE,Digital_KPL,18,6,2
BASE,Digital_KPL,18,6,3
BASE,Digital_KPL,18,6,4
BASE,Digital_KPL,18,6,5
BASE,Digital_KPL,18,7,1
BASE,Digital_KPL,18,7,2
BASE,Digital_KPL,18,7,3
BASE,Digital_KPL,18,7,4
BASE,Digital_KPL,18,7,5
BASE,Digital_KPL,18,8,1
BASE,Digital_KPL,18,8,2
BASE,Digital_KPL,18,8,3
BASE,Digital_KPL,18,8,4
BASE,Digital_KPL,18,8,5
